ano,codigoFuncao,funcao,codigoSubfuncao,subfuncao,codigoPrograma,programa,codigoAcao,acao,chave_serie,empenhado,liquidado,pago,taxa_liquidacao,taxa_pagamento,valor_a_liquidar,restos_a_pagar,variacao_pago_aa,zscore_pago,zscore_robusto_pago,flag_pago_maior_empenhado,flag_liquidado_maior_empenhado,flag_valor_negativo,flag_anomalia_zscore,flag_anomalia_robusto,flag_salto_anual,flag_anomalia,empenhado_real,liquidado_real,pago_real
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FM,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE PLANALTINA,1073-10FM,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FM,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE PLANALTINA,1073-10FM,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2016,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FM,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE PLANALTINA,1073-10FM,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FO,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE BRAGANCA,1073-10FO,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2015,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FO,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE BRAGANCA,1073-10FO,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2016,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FO,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE BRAGANCA,1073-10FO,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2017,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FO,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE BRAGANCA,1073-10FO,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2018,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FO,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE BRAGANCA,1073-10FO,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2019,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FO,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DE BRAGANCA,1073-10FO,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
2014,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,10FP,EXPANSAO DO ENSINO SUPERIOR - CAMPUS DO GAMA,1073-10FP,0.0,0.0,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,False,0.0,0.0,0.0
