conjunto,entidade,ano,pago_real,score_combinado,n_sinais,sinais,desvio_padronizado,score_anomalia_2_3,sinal_flag,sinal_outlier
B,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso",2025,761257722.28,0.9891799544419134,2,"zscore_robusto, outlier_multivariado(score=0.98)",,0.9783599088838268,1.0,0.9783599088838268
A,"APOIO A CONSOLIDACAO, REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR",2022,21726926.818883605,0.9871794871794872,2,"salto_anual, outlier_multivariado(score=0.97)",,0.9743589743589745,1.0,0.9743589743589745
B,Universidade Federal do Rio de Janeiro,2021,4441014847.035469,0.9871705963938974,2,"atipico_entre_pares, outlier_multivariado(score=0.97)",,0.9743411927877947,1.0,0.9743411927877947
B,Universidade Federal do Rio de Janeiro,2019,5195034844.850581,0.9864771151178918,2,"atipico_entre_pares, outlier_multivariado(score=0.97)",,0.9729542302357836,1.0,0.9729542302357836
B,Universidade Federal do Rio de Janeiro,2023,4320322387.016796,0.9833564493758669,2,"atipico_entre_pares, outlier_multivariado(score=0.97)",,0.9667128987517337,1.0,0.9667128987517337
B,Universidade Federal do Rio de Janeiro,2022,4289394867.2222185,0.9830097087378641,2,"atipico_entre_pares, outlier_multivariado(score=0.97)",,0.9660194174757282,1.0,0.9660194174757282
B,Universidade Federal do Rio de Janeiro,2024,4310407194.200759,0.9823162274618585,2,"atipico_entre_pares, outlier_multivariado(score=0.96)",,0.9646324549237171,1.0,0.9646324549237171
B,Universidade Federal do Rio de Janeiro,2020,5065951700.762594,0.9819694868238558,2,"atipico_entre_pares, outlier_multivariado(score=0.96)",,0.9639389736477115,1.0,0.9639389736477115
B,Universidade Federal de Jataí,2021,114690100.95737585,0.9805825242718447,2,"salto_anual, outlier_multivariado(score=0.96)",,0.9611650485436893,1.0,0.9611650485436893
B,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",2020,1178871472.2598968,0.9800683371298405,2,"atipico_entre_pares, outlier_multivariado(score=0.96)",,0.9601366742596811,1.0,0.9601366742596811
B,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul",2016,182870998.38631666,0.9755125284738041,2,"zscore_robusto, outlier_multivariado(score=0.95)",,0.9510250569476082,1.0,0.9510250569476082
B,Universidade Federal do Oeste da Bahia,2014,2307183.2217351496,0.975,2,"zscore_robusto, tendencia_robusta(desvio=-5.9)",-5.949600799518198,,1.0,
B,Universidade Federal do Norte do Tocantins,2024,115875011.73542987,0.970873786407767,2,"salto_anual, outlier_multivariado(score=0.94)",,0.941747572815534,1.0,0.941747572815534
B,Universidade Federal do Sul e Sudeste do Pará,2015,103214496.92445283,0.9680998613037448,2,"zscore_robusto, outlier_multivariado(score=0.94)",,0.9361997226074896,1.0,0.9361997226074896
B,Universidade Federal de Rondonópolis,2021,95550364.33090286,0.9663661581137309,2,"salto_anual, outlier_multivariado(score=0.93)",,0.9327323162274619,1.0,0.9327323162274619
B,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",2015,864186148.9181342,0.9658314350797266,2,"zscore_robusto, outlier_multivariado(score=0.93)",,0.9316628701594533,1.0,0.9316628701594533
B,Instituto Federal do Paraná,2025,670784475.94,0.9624145785876993,2,"zscore_robusto, outlier_multivariado(score=0.92)",,0.9248291571753986,1.0,0.9248291571753986
B,Universidade Federal de Catalão,2021,109795256.5817089,0.9559639389736477,2,"salto_anual, outlier_multivariado(score=0.91)",,0.9119278779472955,1.0,0.9119278779472955
B,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",2019,1210795941.6982613,0.9527334851936219,2,"atipico_entre_pares, outlier_multivariado(score=0.91)",,0.9054669703872438,1.0,0.9054669703872438
B,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",2021,1101234689.1588097,0.9481776765375854,2,"atipico_entre_pares, outlier_multivariado(score=0.90)",,0.8963553530751709,1.0,0.8963553530751709
B,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",2024,1210120471.323649,0.9447608200455581,2,"atipico_entre_pares, outlier_multivariado(score=0.89)",,0.8895216400911161,1.0,0.8895216400911161
B,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",2022,1106672484.4014342,0.9316628701594533,2,"atipico_entre_pares, outlier_multivariado(score=0.86)",,0.8633257403189065,1.0,0.8633257403189065
B,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",2023,1147249126.418263,0.9288154897494305,2,"atipico_entre_pares, outlier_multivariado(score=0.86)",,0.857630979498861,1.0,0.857630979498861
B,Universidade Federal do Sul da Bahia,2014,445823.5625870033,0.925,2,"zscore_robusto, tendencia_robusta(desvio=-4.0)",-3.999001629916416,,1.0,
A,CENSO DA EDUCACAO SUPERIOR,2018,1112596.5961385826,0.905982905982906,2,"salto_anual, outlier_multivariado(score=0.81)",,0.811965811965812,1.0,0.811965811965812
A,CENSO DA EDUCACAO SUPERIOR,2022,306376.20677611144,0.905982905982906,2,"zscore_robusto, salto_anual, outlier_multivariado(score=0.81)",,0.811965811965812,1.0,0.811965811965812
A,"APOIO A CONSOLIDACAO, REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR",2023,54671491.5698511,0.8952991452991452,2,"salto_anual, outlier_multivariado(score=0.79)",,0.7905982905982906,1.0,0.7905982905982906
B,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul",2015,147179346.96155638,0.8855353075170843,2,"zscore_robusto, outlier_multivariado(score=0.77)",,0.7710706150341686,1.0,0.7710706150341686
B,"Instituto Federal de Educação, Ciência e Tecnologia do Pará",2015,418821378.5831613,0.8775626423690205,2,"zscore_robusto, outlier_multivariado(score=0.76)",,0.755125284738041,1.0,0.755125284738041
A,AVALIACAO DA EDUCACAO SUPERIOR E DA POS-GRADUACAO,2022,116364345.78844011,0.8675213675213675,2,"salto_anual, outlier_multivariado(score=0.74)",,0.735042735042735,1.0,0.735042735042735
A,AVALIACAO DA EDUCACAO SUPERIOR E DA POS-GRADUACAO,2021,37470789.786391005,0.858974358974359,2,"salto_anual, outlier_multivariado(score=0.72)",,0.717948717948718,1.0,0.717948717948718
B,"Instituto Federal de Educação, Ciência e Tecnologia Goiano",2025,469183309.85,0.820615034168565,2,"zscore_robusto, outlier_multivariado(score=0.64)",,0.6412300683371299,1.0,0.6412300683371299
B,Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,2015,12510262289.597286,0.8,2,"zscore_robusto, tendencia_robusta(desvio=3.1)",3.1084456243146237,,1.0,
B,Universidade Federal do Oeste da Bahia,2016,112111723.35891372,0.7864077669902912,2,"salto_anual, outlier_multivariado(score=0.57)",,0.5728155339805825,1.0,0.5728155339805825
B,Universidade Federal do Sul e Sudeste do Pará,2025,191077469.86,0.728502080443828,2,"zscore_robusto, outlier_multivariado(score=0.46)",,0.45700416088765605,1.0,0.45700416088765605
B,Universidade Federal do Sul e Sudeste do Pará,2014,68711295.53606051,0.625,2,"zscore_robusto, tendencia_robusta(desvio=-2.7)",-2.7282421479932526,,1.0,
A,CENSO DA EDUCACAO SUPERIOR,2023,374648.95725134935,0.5918803418803419,2,"zscore_robusto, outlier_multivariado(score=0.18)",,0.18376068376068377,1.0,0.18376068376068377
B,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,2020,554171131.0104636,0.5,2,outlier_multivariado(score=1.00),,1.0,0.0,1.0
B,Fundação Universidade Federal do Amapá,2016,236374846.64838502,0.49826629680998613,2,outlier_multivariado(score=1.00),,0.9965325936199723,0.0,0.9965325936199723
B,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul",2017,254881112.36820436,0.4977220956719818,2,outlier_multivariado(score=1.00),,0.9954441913439636,0.0,0.9954441913439636
B,Fundação Universidade Federal do Amapá,2019,252054284.78617638,0.4975728155339806,2,outlier_multivariado(score=1.00),,0.9951456310679612,0.0,0.9951456310679612
