ano,chave_serie,empenhado,liquidado,pago,empenhado_real,liquidado_real,pago_real,codigoFuncao,funcao,codigoSubfuncao,subfuncao,codigoPrograma,programa,codigoAcao,acao,taxa_liquidacao,taxa_pagamento,valor_a_liquidar,restos_a_pagar,flag_pago_maior_empenhado,flag_liquidado_maior_empenhado,flag_valor_negativo,serie_curta,ano_parcial,variacao_pago_aa,zscore_pago,zscore_robusto_pago,flag_anomalia_zscore,flag_anomalia_robusto,flag_salto_anual,flag_anomalia
2014,1073-119W,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,119W,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE DE BRASÍLIA (UNB),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-119X,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,119X,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
2014,1073-119Y,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,119Y,REUNI - READEQUACAO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DO RIO GRANDE (FURG),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-119Z,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,119Z,REUNI - READEQUACAO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DE UBERLANDIA (UFU),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-11AG,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,11AG,REUNI - READEQUACAO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DO ACRE (UFAC),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-11B0,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11B0,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DE MATO GROSSO (UFMT),,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
2014,1073-11B5,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,11B5,REUNI - READEQUACAO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DE OURO PRETO (UFOP),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
2014,1073-11B9,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11B9,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DE PELOTAS (UFPEL),,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
2014,1073-11BA,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITÁRIO,11BA,REUNI - READEQUAÇÃO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DO PIAUI (UFPI),,,0.0,0.0,False,False,False,False,False,,,,False,False,False,False
2014,1073-11C1,0.0,0.0,0.0,0.0,0.0,0.0,12,Educação,364,Ensino superior,1073,BRASIL UNIVERSITARIO,11C1,REUNI - READEQUACAO DA INFRA-ESTRUTURA DA UNIVERSIDADE FEDERAL DE SERGIPE (UFS),,,0.0,0.0,False,False,False,True,False,,,,False,False,False,False
