ano,sigla_uf,uf,pib_mil_reais
2022,RJ,Rio de Janeiro,1153512155
2022,RN,Rio Grande do Norte,93819291
2022,RO,Rondônia,66795454
2022,RR,Roraima,21095342
2022,RS,Rio Grande do Sul,593633656
2022,SC,Santa Catarina,466274103
2022,SE,Sergipe,57372241
2022,SP,São Paulo,3130333203
2022,TO,Tocantins,58208795
2023,AC,Acre,26291321
2023,AL,Alagoas,89688932
2023,AM,Amazonas,161794976
2023,AP,Amapá,28020120
2023,BA,Bahia,430987853
2023,CE,Ceará,232239257
2023,DF,Distrito Federal,365669108
2023,ES,Espírito Santo,209829732
2023,GO,Goiás,336746975
2023,MA,Maranhão,149227195
2023,MG,Minas Gerais,971977551
2023,MS,Mato Grosso do Sul,184402118
2023,MT,Mato Grosso,273008586
2023,PA,Pará,254546511
2023,PB,Paraíba,96963174
2023,PE,Pernambuco,270474919
2023,PI,Piauí,80916856
2023,PR,Paraná,670919162
2023,RJ,Rio de Janeiro,1172871443
2023,RN,Rio Grande do Norte,101740275
2023,RO,Rondônia,76456179
2023,RR,Roraima,25124805
2023,RS,Rio Grande do Sul,650107022
2023,SC,Santa Catarina,513392973
2023,SE,Sergipe,60816662
2023,SP,São Paulo,3444814033
2023,TO,Tocantins,64317699
